pattern	chi2	cs	te.nl
ADJ VERB AUX PUNCT	62.70967741935484	39	147
ADP NUM PROPN NUM	63.059701492537314	1	66
PART	64.6923076923077	162	46
PUNCT PROPN PUNCT NOUN ADJ PUNCT	65.33333333333333	96	12
VERB AUX AUX PUNCT	65.81739130434782	14	101
PART AUX	67.5	15	105
NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT VERB VERB	67.7710843373494	4	79
ADP PROPN PROPN	67.81395348837209	32	140
PART NOUN	67.87704918032787	153	335
PUNCT PROPN PUNCT NOUN DET NOUN PUNCT	68.10236220472441	17	110
ADP ADJ NOUN	71.75595805529075	1243	855
X X	73.0	0	73
SYM	74.0752688172043	5	88
ADJ NOUN PUNCT NOUN NUM PUNCT	75.06382978723404	89	5
PUNCT DET NOUN AUX ADP NUM NOUN VERB PUNCT	76.0	0	76
PUNCT X	80.0	0	80
NUM PUNCT	81.30903790087464	255	88
ADP DET VERB NOUN	83.92609082813891	408	715
PRON AUX ADJ	86.89544688026982	183	410
ADJ PART AUX PUNCT	87.0	0	87
SCONJ ADV NOUN VERB	88.81666666666666	47	193
AUX DET PRON NOUN	90.69465648854961	11	120
CCONJ DET NOUN	93.3012048192771	488	840
DET ADJ	98.56038647342996	106	308
NUM SYM	99.55555555555556	119	7
ADP PROPN PROPN PUNCT	100.85992217898833	48	209
PRON ADV ADV VERB	101.5228426395939	97	297
PUNCT PRON AUX	101.53125	142	370
AUX PRON ADV ADJ	101.64056939501779	56	225
ADP DET PRON ADJ NOUN	102.35243553008596	80	269
ADV	104.24875896304468	2343	3096
AUX ADV ADJ PUNCT SCONJ	106.9620253164557	144	14
CCONJ PRON VERB PRON	108.8	17	153
DET PROPN PROPN	108.9	14	146
SCONJ PRON ADV ADJ AUX	109.0	0	109
ADJ NOUN PUNCT DET AUX	111.26022304832713	221	48
ADP DET VERB ADP NOUN	113.87915936952714	158	413
DET PROPN	115.10526315789474	33	195
VERB PUNCT SCONJ PRON VERB	115.6977886977887	312	95
ADP DET ADJ ADJ NOUN PUNCT	116.6036036036036	238	539
SCONJ DET PROPN	119.70666666666666	8	142
ADJ ADJ AUX PUNCT	120.8955223880597	44	224
CCONJ PRON AUX ADV	120.96774193548387	18	168
ADP DET ADJ CCONJ ADJ NOUN	121.24470588235295	99	326
ADJ CCONJ ADJ NOUN	123.3970223325062	313	90
ADP DET NUM NOUN	125.6822429906542	25	189
ADP DET VERB ADP NOUN PUNCT	126.57847533632287	189	480
ADP ADJ NOUN CCONJ NOUN	129.69849690539345	757	374
DET VERB NOUN	130.24266666666668	971	529
