pattern	chi2	cs	en
DET ADJ ADJ NOUN	20.045454545454547	23	65
PRON ADV VERB	20.318681318681318	24	67
ADV	20.454545454545453	100	175
VERB PRON PUNCT	20.945454545454545	31	79
ADP DET PROPN PROPN	21.0	0	21
DET ADJ NOUN AUX DET NOUN PUNCT	21.16	1	24
SCONJ PRON AUX VERB	21.16	1	24
AUX ADJ PUNCT SCONJ	21.551724137931036	27	2
NOUN AUX AUX VERB ADP	22.0	0	22
DET PROPN NOUN	22.153846153846153	1	25
PART ADJ NOUN PUNCT	22.348837209302324	6	37
ADP DET DET NOUN	22.413333333333334	17	58
NOUN CCONJ NOUN	22.5	35	5
PRON VERB SCONJ	22.857142857142858	15	55
PRON ADV VERB DET NOUN	23.12	8	42
DET ADJ PUNCT	23.333333333333332	70	140
VERB PUNCT SCONJ AUX ADJ	24.0	24	0
PROPN AUX	25.325581395348838	5	38
DET NOUN VERB	25.50344827586207	102	188
NOUN ADP NOUN CCONJ NOUN PUNCT VERB PROPN	26.0	0	26
PRON AUX AUX ADJ	26.0	0	26
PART VERB PRON NOUN	26.0	0	26
PRON AUX ADV ADJ PUNCT	26.470588235294116	2	32
DET ADJ NOUN AUX VERB	26.94736842105263	3	35
PRON ADV VERB PART VERB	27.0	0	27
PRON AUX PART ADJ	27.0	0	27
ADP DET ADJ NOUN PUNCT	27.30666666666667	43	107
ADJ NOUN AUX VERB	27.73972602739726	14	59
ADP PRON NOUN PUNCT	27.842105263157894	15	61
PROPN AUX VERB	29.12121212121212	1	32
AUX AUX VERB PUNCT	30.42105263157895	2	36
ADJ NOUN CCONJ NOUN	30.857142857142858	39	3
PRON AUX VERB PART VERB DET NOUN	31.0	0	31
PRON AUX ADJ PART VERB	31.0	0	31
DET PROPN PROPN	31.0	0	31
DET NOUN PART NOUN	31.114285714285714	1	34
ADP ADJ	31.171945701357465	69	152
DET DET NOUN PUNCT	31.36036036036036	26	85
PRON ADJ PART VERB	32.0	0	32
DET PROPN VERB	33.8	3	42
PRON AUX AUX VERB	34.10526315789474	1	37
SCONJ PRON AUX	34.10526315789474	1	37
ADP PRON PUNCT	34.935483870967744	18	75
AUX ADV VERB	35.88659793814433	19	78
PART VERB DET ADJ NOUN	36.0	0	36
ADP PRON NOUN	36.56521739130435	17	75
AUX ADJ PART VERB	37.0	0	37
ADP DET NOUN ADP ADJ NOUN PUNCT	37.16129032258065	7	55
NOUN PUNCT DET VERB	37.16129032258065	55	7
ADP DET ADJ NOUN ADP NOUN	37.440677966101696	6	53
PART ADJ NOUN	37.878787878787875	8	58
NOUN ADP ADJ NOUN PUNCT VERB PROPN	38.0	0	38
PART AUX	38.0	0	38
NOUN CCONJ NOUN PUNCT	38.111111111111114	56	7
PART NOUN PUNCT	38.111111111111114	7	56
ADP DET NOUN ADP ADJ NOUN	40.96969696969697	7	59
VERB	42.89340101522843	132	262
PRON AUX ADV ADJ	46.08	1	49
ADP DET ADJ	46.08	52	148
AUX AUX VERB	47.03225806451613	4	58
PRON AUX AUX	50.0	0	50
ADP DET PROPN	50.58064516129032	3	59
PUNCT PRON AUX	52.92	6	69
ADP PRON	53.77777777777778	28	116
PART VERB ADJ NOUN	54.0	0	54
PRON AUX ADV VERB	55.25396825396825	2	61
ADP PROPN	55.395604395604394	10	81
ADP DET PUNCT	55.710144927536234	76	200
PRON AUX VERB PART VERB	57.0	0	57
PRON AUX DET ADJ NOUN PUNCT	58.064516129032256	1	61
ADP DET ADJ NOUN	59.94240837696335	42	149
PUNCT	60.634743875278396	307	142
PART VERB PRON	62.0	0	62
AUX AUX	63.674418604651166	6	80
NOUN	64.29373650107992	585	341
PROPN	67.56756756756756	196	396
ADJ ADJ NOUN PUNCT	67.9298245614035	101	13
PRON AUX ADJ PUNCT	68.76190476190476	4	80
CCONJ	71.72881355932203	105	13
ADJ ADJ NOUN	80.32283464566929	114	13
ADP DET NOUN ADP NOUN PUNCT	80.47445255474453	16	121
AUX DET ADJ NOUN	83.56934306569343	15	122
ADJ NOUN PUNCT	83.91724137931034	223	67
