pattern	chi2	cs	en
ADP NOUN ADP DET PROPN PROPN PUNCT PUNCT PUNCT PROPN PUNCT PROPN PROPN PUNCT	46.0	0	46
ADJ CCONJ ADV ADJ	47.41463414634146	177	69
ADP DET ADJ CCONJ ADJ NOUN	47.532934131736525	104	230
AUX ADV VERB	47.67350427350427	376	209
PUNCT PROPN PUNCT ADJ NOUN ADJ PUNCT	48.05714285714286	64	6
AUX AUX VERB	48.858156028368796	29	112
PART AUX ADV ADJ	49.59016393442623	3	58
ADP ADJ NUM NOUN	49.7787610619469	94	19
ADP PRON PUNCT	52.12403100775194	176	340
ADP NOUN ADP DET PROPN PUNCT PROPN PROPN PUNCT PUNCT	55.0	0	55
INTJ PUNCT	55.0	0	55
NUM NOUN NUM	56.22522522522522	95	16
PUNCT DET PRON ADV VERB	56.627450980392155	89	13
PRON AUX PUNCT ADV PUNCT	56.822784810126585	6	73
AUX PART	57.6	32	128
ADJ CCONJ ADJ NOUN	59.220640569395016	205	76
ADP PROPN CCONJ	59.282051282051285	88	224
PROPN PUNCT PROPN PUNCT	59.50413223140496	61	181
PROPN AUX VERB	59.53982300884956	55	171
NOUN ADP NOUN PUNCT VERB PROPN	60.57046979865772	27	122
AUX PART ADJ PUNCT	62.241379310344826	25	120
PUNCT DET NOUN AUX VERB ADP NUM NOUN PUNCT	64.05882352941177	1	67
ADP DET NUM NOUN	64.22222222222223	30	132
PROPN PUNCT	65.83451536643027	541	305
ADP NUM NOUN	68.72199170124482	332	150
PROPN PART NOUN	71.02061855670104	7	90
AUX ADV AUX VERB PUNCT	72.00869565217391	12	103
ADJ NOUN PUNCT NOUN NUM PUNCT	73.08695652173913	87	5
PRON AUX	74.58677685950413	13	108
ADJ CCONJ ADJ PUNCT	75.0	225	75
NOUN ADP PROPN CCONJ PROPN	75.08205128205128	37	158
SCONJ PRON AUX	75.7032967032967	4	87
ADJ NOUN PUNCT DET AUX	76.01351351351352	223	73
PRON AUX ADV ADV VERB	76.22222222222223	14	112
PROPN	76.234404536862	671	387
AUX DET PROPN VERB	77.0	0	77
DET NOUN ADP ADJ PROPN	78.0695652173913	48	182
PUNCT PROPN PUNCT NOUN ADJ PUNCT	78.86666666666666	98	7
ADP NOUN PUNCT PUNCT PUNCT PROPN PUNCT	80.01010101010101	5	94
PRON AUX AUX	80.83177570093459	7	100
ADP PRON	81.59433962264151	119	305
PRON AUX AUX ADV ADJ	84.375	3	93
ADP NOUN ADP DET PROPN PROPN PUNCT PUNCT	86.0	0	86
PRON AUX ADJ PUNCT	86.09782608695652	95	273
PART ADJ NOUN	87.14893617021276	30	158
PROPN PROPN CCONJ PROPN PROPN PUNCT	87.16842105263157	2	93
PRON AUX PART ADV VERB	89.0	0	89
ADJ NOUN CCONJ VERB	90.61496149614962	598	311
ADJ PUNCT ADJ CCONJ ADJ NOUN PUNCT	90.68571428571428	174	36
ADJ NOUN ADJ PRON	91.87390029325513	259	82
AUX ADV ADJ PUNCT SCONJ	94.20253164556962	140	18
SCONJ DET PROPN NOUN	94.58181818181818	4	106
ADV ADV VERB	95.10543130990415	435	191
ADP NOUN	95.51824431517716	1158	733
NOUN CCONJ NOUN	95.79504289799809	683	366
AUX PRON PART	95.8695652173913	5	110
PRON AUX AUX ADJ PART VERB	96.0	0	96
AUX ADV AUX VERB ADP	96.98507462686567	10	124
ADP DET PROPN PROPN PROPN CCONJ	97.0	0	97
ADP	97.63556851311954	80	263
PRON AUX ADV ADJ SCONJ	98.1900826446281	6	115
PRON AUX PART	99.14953271028037	2	105
ADP DET PUNCT SCONJ	100.83953033268102	369	142
PROPN PROPN PART NOUN	102.0	0	102
DET PROPN ADV VERB	103.50769230769231	7	123
AUX ADV ADJ PUNCT	104.6639344262295	357	131
PUNCT	107.09319986192612	1727	1170
ADP ADJ ADJ NOUN CCONJ	107.4060475161987	343	120
PRON AUX ADV ADJ PUNCT	111.21804511278195	47	219
DET ADJ ADJ NOUN	111.67441860465117	492	884
ADP ADJ ADJ NOUN	112.73458445040214	518	228
PRON ADV VERB PART VERB	116.03333333333333	1	119
ADP DET ADJ	116.25053533190578	117	350
DET ADJ NOUN AUX DET NOUN PUNCT	117.63316582914572	23	176
PROPN PROPN PUNCT	117.81818181818181	90	306
DET PROPN PART	119.0	0	119
NOUN AUX ADV AUX VERB	119.17241379310344	15	159
PRON AUX ADJ	120.1711229946524	81	293
DET PROPN PROPN	120.53164556962025	10	148
PART NOUN AUX	121.0	6	138
AUX ADJ PART VERB	123.6993006993007	5	138
ADP ADJ NOUN CCONJ	126.12983662940671	773	390
SCONJ DET ADJ NOUN AUX VERB	129.39520958083833	10	157
PRON AUX AUX ADJ	129.64615384615385	18	177
VERB PUNCT SCONJ PRON VERB	130.1413881748072	307	82
PUNCT PROPN PUNCT PROPN PROPN PUNCT	130.41798941798942	16	173
PRON AUX ADV ADJ PART VERB	131.0	0	131
PRON AUX ADV ADJ	132.48076923076923	21	187
SCONJ VERB	140.5127978817299	766	367
PRON ADJ PART VERB	143.0	0	143
PART AUX ADJ	143.61621621621623	11	174
PRON NOUN VERB PART VERB	145.0268456375839	1	148
PRON AUX ADV AUX VERB	149.0261437908497	1	152
SCONJ DET PROPN PROPN	149.0261437908497	1	152
PROPN PROPN PROPN PUNCT	149.4377358490566	33	232
ADJ CCONJ ADJ NOUN PUNCT	151.13577981651378	416	129
ADP NOUN CCONJ ADJ NOUN PUNCT	153.4459308807135	634	263
DET PROPN PART NOUN	155.0	0	155
PRON PRON VERB	155.3506343713956	250	617
DET ADJ PROPN	155.74045801526717	30	232
PRON AUX ADV VERB PART VERB	157.0	0	157
NUM NOUN PUNCT	165.23090586145648	434	129
CCONJ	165.47353760445682	1170	625
AUX PART AUX VERB	166.0	0	166
ADJ ADP PRON	167.80645161290323	126	432
PRON AUX ADJ SCONJ	172.41379310344828	16	216
DET PROPN PROPN PART NOUN	175.0	0	175
NOUN PUNCT DET AUX	179.3840830449827	450	128
NOUN PUNCT DET ADV VERB	180.95616438356166	311	54
ADP PROPN PUNCT	182.34418604651162	232	628
VERB PRON PUNCT SCONJ	188.47138964577655	315	52
PART AUX DET NOUN	189.02072538860102	1	192
SCONJ DET NOUN AUX VERB	189.93768545994067	42	295
DET PROPN VERB	190.72847682119206	31	271
CCONJ DET NOUN	191.83409238776838	497	1040
NOUN ADP NOUN NOUN	192.90393996247656	1691	974
ADJ NOUN AUX	194.43824336688016	777	316
SCONJ PRON VERB	197.7812041116006	157	524
PART ADJ NOUN PUNCT	198.28235294117647	96	414
DET PROPN AUX VERB	199.17061611374407	3	208
ADV ADJ PUNCT	203.75274056029232	615	206
PROPN PROPN AUX VERB	204.44642857142858	5	219
AUX DET NOUN	204.93828351012536	288	749
VERB PRON PUNCT	207.1011235955056	164	548
PRON AUX ADV	208.17562724014337	19	260
ADP DET PUNCT	208.968534906588	278	739
NUM PUNCT	210.94890510948906	444	104
ADP DET PROPN PROPN CCONJ	212.07272727272726	2	218
PUNCT DET PRON VERB	212.448132780083	401	81
ADP ADJ CCONJ ADJ NOUN	214.81643835616438	563	167
AUX VERB	216.26710816777043	383	70
ADP NOUN NUM	216.34280639431617	456	107
CCONJ VERB DET NOUN	217.07655502392345	205	631
PUNCT SCONJ	217.9951690821256	755	280
SCONJ PRON AUX PART VERB	218.0	0	218
ADJ NOUN AUX AUX VERB ADP	224.25096525096524	9	250
ADP PRON NOUN	226.27702702702703	113	479
DET	227.24113475177305	461	103
SCONJ PRON AUX ADJ	229.7174603174603	23	292
PART VERB CCONJ VERB	231.06694560669456	2	237
