pattern	chi2	cs	en
INTJ PUNCT	65.0	0	65
PUNCT PROPN PUNCT PROPN	71.07042253521126	126	300
AUX ADV AUX VERB PUNCT	72.00869565217391	12	103
ADP DET NUM NOUN	72.96571428571428	31	144
NOUN ADP PROPN CCONJ PROPN	75.08205128205128	37	158
PRON AUX ADV ADV VERB	76.22222222222223	14	112
AUX DET PROPN VERB	77.0	0	77
ADP NOUN PUNCT	77.05277874868926	2529	3193
AUX ADV ADJ PUNCT	78.023598820059	454	224
DET NOUN ADP ADJ PROPN	78.0695652173913	48	182
NUM	82.6588785046729	561	295
PRON AUX AUX ADV ADJ	84.375	3	93
INTJ	86.0	0	86
PROPN PROPN CCONJ PROPN PROPN PUNCT	87.16842105263157	2	93
NOUN ADP NOUN NOUN PUNCT	87.90258939580764	1889	1355
PRON AUX PART ADV VERB	89.0	0	89
ADP ADJ PUNCT	89.19513841998649	1738	1224
ADJ NOUN CCONJ VERB	90.61496149614962	598	311
ADJ PUNCT ADJ CCONJ ADJ NOUN PUNCT	90.68571428571428	174	36
ADJ NOUN ADJ PRON	91.87390029325513	259	82
ADJ PUNCT ADJ CCONJ ADJ NOUN	91.9531914893617	191	44
AUX AUX ADJ	92.01520912547528	153	373
AUX ADV ADJ PUNCT SCONJ	94.20253164556962	140	18
SCONJ DET PROPN NOUN	94.58181818181818	4	106
PUNCT DET NOUN AUX VERB ADP NUM NOUN PUNCT	95.04040404040404	1	98
AUX PRON PART	95.8695652173913	5	110
PRON AUX AUX ADJ PART VERB	96.0	0	96
AUX ADV AUX VERB ADP	96.98507462686567	10	124
ADP DET PROPN PROPN PROPN CCONJ	97.0	0	97
SCONJ VERB	97.04345857854233	873	1336
PRON AUX ADV ADJ SCONJ	98.1900826446281	6	115
ADP DET PUNCT SCONJ	100.83953033268102	369	142
DET PROPN ADV VERB	103.50769230769231	7	123
PART ADV VERB	106.82882882882883	34	188
ADP ADJ ADJ NOUN CCONJ	107.4060475161987	343	120
PROPN CCONJ PROPN	110.22950819672131	40	204
PRON AUX ADV ADJ PUNCT	111.21804511278195	47	219
AUX PART ADV VERB	114.28571428571429	3	123
DET ADJ NOUN AUX DET NOUN PUNCT	117.63316582914572	23	176
ADP NOUN PUNCT PUNCT PUNCT PROPN PUNCT	117.72992700729927	5	132
NOUN AUX ADV AUX VERB	119.17241379310344	15	159
PART NOUN AUX	121.0	6	138
PUNCT PROPN PUNCT NOUN ADJ PUNCT	124.97297297297297	142	6
ADP ADJ NOUN CCONJ	128.99841143764894	831	428
SCONJ DET ADJ NOUN AUX VERB	129.39520958083833	10	157
VERB PUNCT SCONJ PRON VERB	130.1413881748072	307	82
PRON AUX ADV ADJ PART VERB	131.0	0	131
ADP NOUN ADP DET PROPN PROPN PUNCT PUNCT	143.0	0	143
PRON NOUN VERB PART VERB	145.0268456375839	1	148
ADP ADJ CCONJ ADJ NOUN	148.1505376344086	538	206
PRON AUX ADV AUX VERB	149.0261437908497	1	152
SCONJ DET PROPN PROPN	149.0261437908497	1	152
NOUN ADP NOUN NOUN	151.68067226890756	2284	1524
ADV AUX VERB	151.71245634458674	249	610
ADP NOUN CCONJ ADJ NOUN PUNCT	153.4459308807135	634	263
PRON PRON VERB	155.3506343713956	250	617
ADP ADJ	155.81639344262294	2876	2004
PRON AUX ADV VERB PART VERB	157.0	0	157
DET ADJ ADJ NOUN	158.8310038119441	537	1037
AUX PART AUX VERB	166.0	0	166
ADJ ADP PRON	167.80645161290323	126	432
PART AUX ADJ	168.1152073732719	13	204
NUM PUNCT	168.4131736526946	605	230
DET PROPN PROPN PART NOUN	175.0	0	175
PRON AUX ADJ PUNCT	179.10237659963437	117	430
NOUN PUNCT DET ADV VERB	180.95616438356166	311	54
PUNCT PROPN PUNCT PROPN PROPN PUNCT	188.1290322580645	16	232
VERB PRON PUNCT SCONJ	188.47138964577655	315	52
PART AUX DET NOUN	189.02072538860102	1	192
ADP PROPN CCONJ	192.140350877193	80	376
DET ADJ PROPN	194.91693290734824	33	280
PART ADJ NOUN PUNCT	198.28235294117647	96	414
PRON ADV VERB	207.05664830841857	379	892
ADP NOUN NUM	216.34280639431617	456	107
CCONJ VERB DET NOUN	217.07655502392345	205	631
SCONJ PRON AUX PART VERB	218.0	0	218
SCONJ DET NOUN AUX	219.0856610800745	97	440
ADP NOUN	220.42913601932156	3846	5263
ADJ NOUN AUX AUX VERB ADP	224.25096525096524	9	250
PROPN PUNCT PROPN PUNCT	227.4392523364486	58	370
SCONJ PRON AUX ADJ	229.7174603174603	23	292
PART VERB CCONJ VERB	231.06694560669456	2	237
DET NOUN AUX ADV VERB	234.76331360946745	81	426
DET PUNCT PRON AUX	239.48692152917505	76	421
PRON AUX AUX ADJ	239.80263157894737	17	287
ADJ NOUN ADP NOUN	241.15023708510108	2495	1512
PRON ADV VERB PART VERB	242.01626016260164	1	245
DET DET NOUN PUNCT	242.1057957681693	287	800
PRON AUX ADJ SCONJ	244.56962025316454	19	297
PROPN PROPN PART NOUN	247.0	0	247
DET PROPN PART NOUN	247.0	0	247
PRON AUX PART ADJ	247.24334600760457	4	259
NOUN CCONJ NOUN NOUN PUNCT	250.40274414850686	898	341
PRON VERB SCONJ	253.065306122449	241	739
ADP DET PROPN PROPN CCONJ	257.06037735849054	2	263
NOUN PUNCT VERB PROPN	257.6842105263158	119	527
PRON VERB PUNCT SCONJ	257.7902097902098	478	94
PUNCT DET PRON VERB	258.44274809160305	446	78
ADJ CCONJ ADJ PUNCT	258.7307692307692	581	147
NOUN ADP NOUN PUNCT VERB PROPN	261.40314136125653	33	349
ADP DET NOUN CCONJ NOUN	270.5917098445596	227	738
SCONJ DET NOUN AUX VERB	274.24009324009324	43	386
ADV ADJ PUNCT	276.7958883994126	988	374
DET NOUN CCONJ NOUN ADP	277.8203821656051	159	626
SCONJ PRON VERB	282.08561643835617	297	871
DET ADJ PUNCT	296.2493125572869	689	1493
ADJ NOUN PUNCT DET AUX	297.3470790378007	499	83
ADJ NOUN PUNCT DET AUX ADJ	306.18848167539267	362	20
DET VERB NOUN ADP DET NOUN	310.2247838616715	115	579
CCONJ DET NOUN	311.3450164293538	536	1290
DET PROPN PROPN AUX VERB	316.0	0	316
ADP ADJ NOUN	323.085185954706	3030	1783
ADP PRON PUNCT	324.3023758099352	189	737
PRON AUX DET ADJ NOUN PUNCT	334.82750582750583	25	404
AUX ADJ	336.6666666666667	2020	1010
ADP PRON NOUN PUNCT	343.2199775533109	169	722
AUX AUX VERB PUNCT	347.1311475409836	21	406
PRON ADV VERB DET NOUN	359.54781199351703	73	544
ADP DET NOUN PART NOUN	361.4117647058824	12	396
ADP DET DET NOUN PUNCT	363.66582278481013	127	663
ADP DET PROPN PROPN PROPN PUNCT	369.0107238605898	1	372
ADP ADJ NOUN PUNCT	375.98340707964604	2391	1225
PRON AUX ADJ PART VERB	377.0	0	377
PROPN PART NOUN	377.25188916876573	5	392
PART NOUN PUNCT	377.7906371911574	115	654
PRON ADJ PART VERB	385.0	0	385
VERB PUNCT SCONJ AUX ADJ	385.46320346320346	442	20
DET PROPN AUX VERB	386.09045226130655	3	395
DET PROPN PART	388.0	0	388
X PUNCT	388.0	0	388
ADP NOUN PART NOUN	390.3225806451613	28	468
SCONJ VERB DET NOUN	394.13632030505244	203	846
NOUN PUNCT DET AUX	399.7209062821833	797	174
PART AUX VERB	401.03911980440097	2	407
PUNCT ADJ NOUN ADJ PUNCT	403.0663349917081	548	55
AUX ADV VERB	408.24	322	1078
SCONJ DET NOUN	420.2014925373134	393	1215
AUX ADJ PUNCT SCONJ	423.2230088495575	527	38
ADJ NOUN AUX VERB	424.26644951140065	364	1171
NOUN CCONJ NOUN PUNCT	437.4544875875239	1200	371
PART VERB PRON NOUN	439.0357941834452	2	445
PRON AUX ADV ADJ	441.9744408945687	50	576
X	442.0	0	442
PRON AUX VERB PART VERB DET NOUN	448.0	0	448
AUX ADJ PUNCT	451.3469004383219	1223	374
DET NOUN ADP DET PROPN NOUN	464.008547008547	1	467
ADJ CCONJ ADJ	469.3925925925926	896	184
PROPN PROPN AUX VERB	471.20366598778	5	486
DET NOUN ADP NOUN CCONJ NOUN	473.8083889418494	172	877
AUX ADJ PART VERB	474.130612244898	4	486
PRON AUX AUX VERB	480.5	8	504
PROPN AUX	482.43946188340806	118	774
ADJ CCONJ ADJ NOUN PUNCT	484.13891625615764	858	157
ADJ NOUN CCONJ ADJ NOUN PUNCT	486.75390625	865	159
SCONJ PRON AUX VERB	497.21585160202363	25	568
DET NOUN SCONJ VERB	501.0787589498807	95	743
ADP DET NOUN ADP ADJ NOUN PUNCT	505.6635220125786	235	1037
ADP DET NOUN ADP DET PROPN PROPN	507.0	0	507
NOUN AUX AUX VERB ADP	513.268156424581	6	531
ADP ADJ ADJ NOUN PUNCT	524.8832731648616	1298	364
NOUN CCONJ NOUN	548.8991696322657	1324	362
DET PROPN PROPN VERB	563.0280210157619	2	569
ADP PRON NOUN	568.3314285714285	254	1146
PART AUX	568.8204724409449	17	618
PROPN AUX VERB	582.9275167785235	43	702
ADP PROPN PUNCT	587.9576453697057	244	1149
NOUN PUNCT NOUN ADJ PUNCT	599.5859284890427	794	73
DET PROPN VERB	612.3555555555556	28	692
DET NOUN PART NOUN	615.2542372881356	24	684
ADJ CCONJ ADJ NOUN	618.674074074074	1041	174
DET PROPN PROPN PROPN	627.056338028169	3	636
PROPN PROPN PROPN PUNCT	631.9619565217391	27	709
PART ADJ NOUN	638.0992063492064	103	905
PRON AUX AUX	638.6397163120567	17	688
PRON AUX ADV VERB	649.9282051282051	34	746
DET ADJ NOUN AUX VERB	656.8343195266273	50	795
ADJ NOUN CCONJ ADJ NOUN	657.4581704456607	1098	181
ADP PRON	657.492795389049	456	1626
ADP DET ADJ NOUN PUNCT	664.1260273972603	492	1698
ADP DET ADJ NOUN ADP NOUN	667.9357541899441	227	1205
AUX DET ADJ NOUN	670.2258494337109	249	1252
ADJ NOUN PUNCT DET VERB	676.4995700773861	1025	138
ADP ADJ ADJ NOUN	704.793136320305	1657	441
SCONJ PRON AUX	705.3548387096774	26	780
PRON AUX VERB PART VERB	745.0	0	745
ADJ NOUN CCONJ NOUN	783.2542274052478	1437	278
ADP DET NOUN ADP ADJ NOUN	796.0611045828438	269	1433
PART VERB PRON	804.1739130434783	6	822
CCONJ	808.1772205694857	1866	487
DET PROPN NOUN	808.6353340883352	19	864
ADP PROPN PROPN PUNCT	818.1818181818181	45	945
ADP DET PROPN PROPN PUNCT	830.2969837587007	8	854
